Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Somma Gol
FC Bayern München,RB Leipzig,6,0,6
1. FC Heidenheim,VfL Wolfsburg,1,3,4
1. FC Union Berlin,VfB Stuttgart,2,1,3
Bayer 04 Leverkusen,TSG Hoffenheim,1,2,3
Eintracht Frankfurt,SV Werder Bremen,4,1,5
SC Freiburg,FC Augsburg,1,3,4
FC St. Pauli,Borussia Dortmund,3,3,6
1. FSV Mainz 05,1. FC Köln,0,1,1
Borussia M'gladbach,Hamburger SV,0,0,0
SV Werder Bremen,VfL Wolfsburg,2,1,3
1. FC Union Berlin,FC Bayern München,2,2,4
Bayer 04 Leverkusen,1. FC Heidenheim,6,0,6
Hamburger SV,Borussia Dortmund,1,1,2
TSG Hoffenheim,RB Leipzig,3,1,4
Borussia M'gladbach,1. FC Köln,3,1,4
SC Freiburg,FC St. Pauli,2,1,3
VfB Stuttgart,FC Augsburg,3,2,5
Eintracht Frankfurt,1. FSV Mainz 05,1,0,1
1. FSV Mainz 05,TSG Hoffenheim,1,1,2
1. FC Heidenheim,Borussia M'gladbach,0,3,3
Borussia Dortmund,VfB Stuttgart,3,3,6
FC Augsburg,Hamburger SV,1,0,1
FC Bayern München,SC Freiburg,6,2,8
VfL Wolfsburg,Bayer 04 Leverkusen,1,3,4
1. FC Köln,Eintracht Frankfurt,3,4,7
RB Leipzig,SV Werder Bremen,2,0,2
FC St. Pauli,1. FC Union Berlin,0,1,1
Borussia M'gladbach,RB Leipzig,0,0,0
1. FC Union Berlin,1. FC Heidenheim,1,2,3
FC Bayern München,FC St. Pauli,3,1,4
SV Werder Bremen,1. FC Köln,1,1,2
TSG Hoffenheim,FC Augsburg,3,0,3
Bayer 04 Leverkusen,Borussia Dortmund,1,2,3
Hamburger SV,VfB Stuttgart,2,1,3
Eintracht Frankfurt,VfL Wolfsburg,1,1,2
SC Freiburg,1. FSV Mainz 05,4,0,4
1. FSV Mainz 05,Borussia M'gladbach,0,1,1
1. FC Heidenheim,SC Freiburg,2,1,3
1. FC Köln,FC St. Pauli,1,1,2
FC Augsburg,Bayer 04 Leverkusen,2,0,2
VfB Stuttgart,FC Bayern München,0,5,5
VfL Wolfsburg,1. FC Union Berlin,3,1,4
RB Leipzig,Eintracht Frankfurt,6,0,6
Hamburger SV,SV Werder Bremen,3,2,5
Borussia Dortmund,TSG Hoffenheim,2,0,2
1. FC Union Berlin,RB Leipzig,3,1,4
Borussia M'gladbach,VfL Wolfsburg,1,3,4
Eintracht Frankfurt,FC Augsburg,1,0,1
FC St. Pauli,1. FC Heidenheim,2,1,3
TSG Hoffenheim,Hamburger SV,4,1,5
Bayer 04 Leverkusen,1. FC Köln,2,0,2
SC Freiburg,Borussia Dortmund,1,1,2
FC Bayern München,1. FSV Mainz 05,2,2,4
SV Werder Bremen,VfB Stuttgart,0,4,4
Borussia Dortmund,Borussia M'gladbach,2,0,2
1. FC Köln,1. FC Union Berlin,0,1,1
FC Augsburg,SV Werder Bremen,0,0,0
Hamburger SV,Eintracht Frankfurt,1,1,2
VfB Stuttgart,TSG Hoffenheim,0,0,0
VfL Wolfsburg,SC Freiburg,3,4,7
RB Leipzig,Bayer 04 Leverkusen,1,3,4
1. FSV Mainz 05,FC St. Pauli,0,0,0
1. FC Heidenheim,FC Bayern München,0,4,4
Eintracht Frankfurt,Borussia Dortmund,3,3,6
1. FC Heidenheim,1. FC Köln,2,2,4
1. FC Union Berlin,1. FSV Mainz 05,2,2,4
SC Freiburg,Hamburger SV,2,1,3
Bayer 04 Leverkusen,VfB Stuttgart,1,4,5
Borussia M'gladbach,FC Augsburg,4,0,4
FC Bayern München,VfL Wolfsburg,8,1,9
FC St. Pauli,RB Leipzig,1,1,2
SV Werder Bremen,TSG Hoffenheim,0,2,2
VfB Stuttgart,Eintracht Frankfurt,3,2,32
1. FSV Mainz 05,1. FC Heidenheim,2,1,21
Borussia Dortmund,SV Werder Bremen,3,0,30
Hamburger SV,Bayer 04 Leverkusen,-,-,--
VfL Wolfsburg,FC St. Pauli,2,1,21
1. FC Köln,FC Bayern München,1,3,13
RB Leipzig,SC Freiburg,2,0,20
TSG Hoffenheim,Borussia M'gladbach,5,1,51
FC Augsburg,1. FC Union Berlin,1,1,11
SV Werder Bremen,Eintracht Frankfurt,3,3,6
1. FC Köln,1. FSV Mainz 05,2,1,3
Borussia Dortmund,FC St. Pauli,3,2,5
Hamburger SV,Borussia M'gladbach,0,0,0
TSG Hoffenheim,Bayer 04 Leverkusen,1,0,1
VfL Wolfsburg,1. FC Heidenheim,1,1,2
RB Leipzig,FC Bayern München,1,5,6
VfB Stuttgart,1. FC Union Berlin,1,1,2
FC Augsburg,SC Freiburg,2,2,4
FC St. Pauli,Hamburger SV,0,0,0
1. FC Heidenheim,RB Leipzig,0,3,3
1. FSV Mainz 05,VfL Wolfsburg,3,1,4
Bayer 04 Leverkusen,SV Werder Bremen,1,0,1
Eintracht Frankfurt,TSG Hoffenheim,1,3,4
FC Bayern München,FC Augsburg,1,2,3
1. FC Union Berlin,Borussia Dortmund,0,3,3
Borussia M'gladbach,VfB Stuttgart,0,3,3
SC Freiburg,1. FC Köln,2,1,3
Hamburger SV,FC St. Pauli,0,2,2
RB Leipzig,1. FC Heidenheim,2,0,2
SV Werder Bremen,Bayer 04 Leverkusen,3,3,6
TSG Hoffenheim,Eintracht Frankfurt,1,3,4
VfB Stuttgart,Borussia M'gladbach,1,0,1
FC Augsburg,FC Bayern München,2,3,5
VfL Wolfsburg,1. FSV Mainz 05,1,1,2
Borussia Dortmund,1. FC Union Berlin,3,0,3
1. FC Köln,SC Freiburg,4,1,5
1. FC Köln,VfL Wolfsburg,1,0,1
Eintracht Frankfurt,Bayer 04 Leverkusen,1,3,4
FC Augsburg,FC St. Pauli,2,1,3
RB Leipzig,1. FSV Mainz 05,1,2,3
SV Werder Bremen,Borussia M'gladbach,1,1,2
TSG Hoffenheim,1. FC Union Berlin,3,1,4
Hamburger SV,FC Bayern München,2,2,4
VfB Stuttgart,SC Freiburg,1,0,1
Borussia Dortmund,1. FC Heidenheim,3,2,5
Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,4
1. FC Heidenheim,Borussia Dortmund,0,2,2
1. FC Union Berlin,TSG Hoffenheim,2,4,6
1. FSV Mainz 05,RB Leipzig,0,1,1
SC Freiburg,VfB Stuttgart,3,1,4
VfL Wolfsburg,1. FC Köln,3,3,6
FC Bayern München,Hamburger SV,5,0,5
FC St. Pauli,FC Augsburg,2,1,3
Borussia M'gladbach,SV Werder Bremen,0,4,4
VfB Stuttgart,FC St. Pauli,2,0,2
FC Augsburg,1. FSV Mainz 05,1,4,5
Hamburger SV,1. FC Heidenheim,2,1,3
SV Werder Bremen,SC Freiburg,0,3,3
TSG Hoffenheim,FC Bayern München,1,4,5
RB Leipzig,1. FC Köln,3,1,4
Eintracht Frankfurt,1. FC Union Berlin,3,4,7
Bayer 04 Leverkusen,Borussia M'gladbach,1,1,2
Borussia Dortmund,VfL Wolfsburg,1,0,1
FC Bayern München,SV Werder Bremen,4,0,4
1. FC Heidenheim,FC Augsburg,2,1,3
1. FSV Mainz 05,Borussia Dortmund,0,2,2
FC St. Pauli,Bayer 04 Leverkusen,1,2,3
VfL Wolfsburg,RB Leipzig,0,1,1
Borussia M'gladbach,Eintracht Frankfurt,4,6,10
SC Freiburg,TSG Hoffenheim,1,1,2
1. FC Köln,VfB Stuttgart,1,2,3
1. FC Union Berlin,Hamburger SV,0,0,0
TSG Hoffenheim,1. FC Köln,0,1,1
Bayer 04 Leverkusen,1. FC Union Berlin,2,0,2
Borussia Dortmund,RB Leipzig,1,1,2
FC Augsburg,VfL Wolfsburg,3,1,4
SV Werder Bremen,FC St. Pauli,1,0,1
Eintracht Frankfurt,FC Bayern München,0,3,3
VfB Stuttgart,1. FC Heidenheim,1,0,1
Hamburger SV,1. FSV Mainz 05,4,0,4
Borussia M'gladbach,SC Freiburg,0,0,0
1. FC Union Berlin,Borussia M'gladbach,3,1,4
1. FC Heidenheim,SV Werder Bremen,2,2,4
1. FC Köln,FC Augsburg,1,1,2
1. FSV Mainz 05,Bayer 04 Leverkusen,3,4,7
RB Leipzig,Hamburger SV,2,1,3
VfL Wolfsburg,VfB Stuttgart,0,3,3
FC Bayern München,Borussia Dortmund,2,1,3
SC Freiburg,Eintracht Frankfurt,2,2,4
FC St. Pauli,TSG Hoffenheim,0,3,3
SV Werder Bremen,1. FC Union Berlin,1,0,1
Eintracht Frankfurt,FC St. Pauli,2,0,2
FC Augsburg,RB Leipzig,0,6,6
Hamburger SV,VfL Wolfsburg,0,1,1
TSG Hoffenheim,1. FC Heidenheim,3,1,4
Borussia M'gladbach,FC Bayern München,0,3,3
Borussia Dortmund,1. FC Köln,1,0,1
Bayer 04 Leverkusen,SC Freiburg,2,0,2
VfB Stuttgart,1. FSV Mainz 05,2,1,3
FC Augsburg,Borussia Dortmund,0,1,1
1. FC Heidenheim,Eintracht Frankfurt,1,1,2
1. FC Union Berlin,SC Freiburg,0,0,0
1. FSV Mainz 05,SV Werder Bremen,1,1,2
FC St. Pauli,Borussia M'gladbach,0,4,4
RB Leipzig,VfB Stuttgart,3,1,4
FC Bayern München,Bayer 04 Leverkusen,3,0,3
1. FC Köln,Hamburger SV,4,1,5
VfL Wolfsburg,TSG Hoffenheim,2,3,5
