Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
22/08/2025,21:30,Real Betis,Deportivo Alavés,1,0,Ended
23/08/2025,17:00,Mallorca,Celta Vigo,1,1,Ended
23/08/2025,19:30,Atlético Madrid,Elche,1,1,Ended
23/08/2025,21:30,Levante UD,Barcelona,2,3,Ended
24/08/2025,17:00,Osasuna,Valencia,1,0,Ended
24/08/2025,19:30,Real Sociedad,Espanyol,2,2,Ended
24/08/2025,19:30,Villarreal,Girona FC,5,0,Ended
24/08/2025,21:30,Real Oviedo,Real Madrid,0,3,Ended
25/08/2025,19:30,Athletic Club,Rayo Vallecano,1,0,Ended
25/08/2025,21:30,Sevilla,Getafe,1,2,Ended
