Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
13/12/2025,16:30,Casa Pia,Gil Vicente,1,1,Ended
13/12/2025,16:30,CD Nacional,Tondela,-,-,Postponed
13/12/2025,19:00,Rio Ave,Vitória SC,0,1,Ended
13/12/2025,21:30,Sporting CP,AVS - Futebol SAD,6,0,Ended
14/12/2025,16:30,Famalicão,Estoril Praia,4,0,Ended
14/12/2025,19:00,Moreirense,Benfica,0,4,Ended
14/12/2025,21:30,FC Arouca,FC Alverca,1,0,Ended
15/12/2025,18:30,CD Nacional,Tondela,3,1,Ended
15/12/2025,19:45,Sporting Braga,Santa Clara,1,0,Ended
15/12/2025,21:45,FC Porto,CF Estrela Amadora,3,1,Ended
