Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Somma Gol
Stade Rennais,Olympique de Marseille,1,0,1
RC Lens,Olympique Lyonnais,0,1,1
AS Monaco,Le Havre,3,1,4
Nice,Toulouse,0,1,1
Stade Brestois,Lille,3,3,6
Angers,Paris FC,1,0,1
Auxerre,Lorient,1,0,1
Metz,RC Strasbourg,0,1,1
Nantes,Paris Saint-Germain,0,1,1
Le Havre,Stade Brestois,1,0,1
Lorient,Paris Saint-Germain,1,1,2
Metz,RC Lens,2,0,2
Nice,Lille,2,0,2
Nantes,AS Monaco,3,5,8
Olympique de Marseille,Angers,2,2,4
Paris FC,Olympique Lyonnais,3,3,6
RC Strasbourg,Auxerre,3,0,3
Toulouse,Stade Rennais,2,2,4
Paris Saint-Germain,Nice,1,0,1
AS Monaco,Paris FC,0,1,1
Auxerre,Olympique de Marseille,0,1,1
Stade Rennais,RC Strasbourg,4,1,5
Lille,Angers,1,0,1
Nantes,Metz,0,2,2
RC Lens,Lorient,3,0,3
Toulouse,Le Havre,0,0,0
Stade Brestois,Olympique Lyonnais,0,0,0
Paris FC,Stade Rennais,0,1,1
Olympique de Marseille,Stade Brestois,3,0,3
Le Havre,Nantes,1,1,2
AS Monaco,RC Lens,1,4,5
Lorient,Toulouse,1,1,2
Angers,Auxerre,2,0,2
Metz,Nice,2,1,3
RC Strasbourg,Lille,2,0,2
Olympique Lyonnais,Paris Saint-Germain,2,3,5
Nice,Olympique de Marseille,1,5,6
RC Lens,RC Strasbourg,1,0,1
Stade Rennais,AS Monaco,4,1,5
Paris Saint-Germain,Le Havre,3,0,3
Auxerre,Olympique Lyonnais,0,0,0
Nantes,Lorient,1,1,2
Stade Brestois,Metz,3,2,5
Toulouse,Angers,0,1,1
Lille,Paris FC,4,2,6
Metz,Stade Rennais,0,1,1
AS Monaco,Paris Saint-Germain,1,0,1
Paris FC,Auxerre,1,1,2
Olympique de Marseille,Toulouse,2,2,4
RC Strasbourg,Stade Brestois,1,2,3
Angers,RC Lens,1,2,3
Le Havre,Lille,0,1,1
Lorient,Nice,3,1,4
Olympique Lyonnais,Nantes,3,0,3
Stade Brestois,AS Monaco,1,0,1
Lille,Olympique de Marseille,1,0,1
Nantes,RC Lens,1,2,3
Toulouse,RC Strasbourg,1,0,1
Paris Saint-Germain,Stade Rennais,5,0,5
Nice,Angers,0,1,1
Auxerre,Metz,3,1,4
Le Havre,Paris FC,0,0,0
Lorient,Olympique Lyonnais,1,0,1
Angers,Nantes,4,1,5
Stade Rennais,Stade Brestois,3,1,4
Metz,Paris Saint-Germain,2,3,5
Paris FC,Toulouse,0,3,3
Olympique Lyonnais,Le Havre,1,0,1
Auxerre,Lille,3,4,7
RC Lens,Nice,2,0,2
RC Strasbourg,Lorient,0,0,0
Olympique de Marseille,AS Monaco,1,0,1
Toulouse,RC Lens,0,3,3
AS Monaco,Olympique Lyonnais,1,3,4
Nice,RC Strasbourg,1,1,2
Lille,Stade Rennais,0,2,2
Olympique de Marseille,Nantes,0,2,2
Le Havre,Angers,2,1,3
Lorient,Metz,1,1,2
Stade Brestois,Auxerre,2,0,2
Paris Saint-Germain,Paris FC,2,1,3
AS Monaco,Lorient,1,3,4
Paris Saint-Germain,Lille,3,0,3
RC Lens,Auxerre,1,0,1
Toulouse,Nice,5,1,6
Angers,Olympique de Marseille,2,5,7
RC Strasbourg,Metz,2,1,3
Nantes,Paris FC,1,2,3
Stade Rennais,Le Havre,1,1,2
Olympique Lyonnais,Stade Brestois,2,1,3
Auxerre,Paris Saint-Germain,0,1,1
Stade Rennais,Lorient,0,2,2
Le Havre,AS Monaco,0,0,0
Olympique de Marseille,RC Lens,3,1,4
Nantes,Nice,1,4,5
Metz,Olympique Lyonnais,2,5,7
Paris FC,Angers,0,0,0
Stade Brestois,Toulouse,0,2,2
