Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
18/10/2025,13:30,Nottingham Forest,Chelsea,0,3,Ended
18/10/2025,16:00,Brighton & Hove Albion,Newcastle United,2,1,Ended
18/10/2025,16:00,Burnley,Leeds United,2,0,Ended
18/10/2025,16:00,Crystal Palace,Bournemouth,3,3,Ended
18/10/2025,16:00,Manchester City,Everton,2,0,Ended
18/10/2025,16:00,Sunderland,Wolverhampton,2,0,Ended
18/10/2025,18:30,Fulham,Arsenal,0,1,Ended
19/10/2025,15:00,Tottenham Hotspur,Aston Villa,1,2,Ended
19/10/2025,17:30,Liverpool,Manchester United,1,2,Ended
20/10/2025,21:00,West Ham United,Brentford,0,2,Ended
