Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
West Ham United,17,29,48
Tottenham Hotspur,16,35,33
Bournemouth,15,40,43
Chelsea,15,42,27
Manchester United,15,44,36
Liverpool,15,39,33
Leeds United,14,31,42
Manchester City,14,49,23
Newcastle United,14,33,33
Burnley,13,25,47
Aston Villa,13,35,26
Fulham,13,34,35
Brentford,12,36,32
Arsenal,12,46,17
Brighton & Hove Albion,12,34,32
Nottingham Forest,12,24,35
Crystal Palace,11,25,29
Sunderland,10,27,26
Wolverhampton,10,15,45
Everton,7,26,27
