Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Somma Gol
Genoa,Lecce,0,0,0
Sassuolo,Napoli,0,2,2
Milan,Cremonese,1,2,3
Roma,Bologna,1,0,1
Cagliari,Fiorentina,1,1,2
Como,Lazio,2,0,2
Atalanta,Pisa,1,1,2
Juventus,Parma,2,0,2
Udinese,Hellas Verona,1,1,2
Inter,Torino,5,0,5
Udinese,Atalanta,1,0,1
Napoli,Como,0,0,0
Cremonese,Juventus,1,2,3
Hellas Verona,Inter,1,2,3
Fiorentina,Lecce,0,1,1
Torino,Pisa,2,2,4
Parma,Bologna,1,3,4
Milan,Roma,1,0,1
Sassuolo,Genoa,1,2,3
Lazio,Cagliari,2,0,2
Pisa,Cremonese,1,0,1
Como,Cagliari,0,0,0
Lecce,Hellas Verona,0,0,0
Juventus,Torino,0,0,0
Parma,Milan,2,2,4
Atalanta,Sassuolo,0,3,3
Bologna,Napoli,2,0,2
Genoa,Fiorentina,2,2,4
Roma,Udinese,2,0,2
Inter,Lazio,2,0,2
Cagliari,Genoa,3,3,6
Udinese,Bologna,0,3,3
Fiorentina,Juventus,1,1,2
Napoli,Atalanta,3,1,4
Hellas Verona,Parma,1,2,3
Cremonese,Roma,1,3,4
Lazio,Lecce,2,0,2
Inter,Milan,0,1,1
Torino,Como,1,5,6
Sassuolo,Pisa,2,2,4
Como,Sassuolo,2,0,2
Genoa,Hellas Verona,2,1,3
Parma,Udinese,0,2,2
Juventus,Cagliari,2,1,3
Milan,Lazio,1,0,1
Lecce,Torino,2,1,3
Pisa,Inter,0,2,2
Atalanta,Fiorentina,2,0,2
Roma,Napoli,0,1,1
Bologna,Cremonese,1,3,4
Sassuolo,Fiorentina,3,1,4
Inter,Como,4,0,4
Hellas Verona,Atalanta,3,1,4
Cremonese,Lecce,2,0,2
Cagliari,Roma,1,0,1
Lazio,Bologna,1,1,2
Napoli,Juventus,2,1,3
Pisa,Parma,0,1,1
Udinese,Genoa,1,2,3
Torino,Milan,2,3,5
Lecce,Pisa,1,0,1
Torino,Cremonese,1,0,1
Parma,Lazio,0,1,1
Atalanta,Cagliari,2,1,3
Milan,Sassuolo,2,2,4
Fiorentina,Hellas Verona,1,2,3
Udinese,Napoli,1,0,1
Genoa,Inter,1,2,3
Bologna,Juventus,0,1,1
Roma,Como,1,0,1
Lazio,Cremonese,0,0,0
Juventus,Roma,2,1,3
Cagliari,Pisa,2,2,4
Sassuolo,Torino,0,1,1
Fiorentina,Udinese,5,1,6
Genoa,Atalanta,0,1,1
Napoli,Parma,0,0,0
Inter,Lecce,1,0,1
Hellas Verona,Bologna,2,3,5
Como,Milan,1,3,4
Parma,Fiorentina,1,0,1
Lecce,Como,0,3,3
Torino,Cagliari,1,2,3
Udinese,Lazio,1,1,2
Pisa,Juventus,0,2,2
Milan,Hellas Verona,3,0,3
Cremonese,Napoli,0,2,2
Bologna,Sassuolo,1,1,2
Atalanta,Inter,0,1,1
Roma,Genoa,3,1,4
Cagliari,Milan,0,1,1
Como,Udinese,1,0,1
Genoa,Pisa,1,1,2
Sassuolo,Parma,1,1,2
Juventus,Lecce,1,1,2
Atalanta,Roma,1,0,1
Lazio,Napoli,0,2,2
Fiorentina,Cremonese,1,0,1
Hellas Verona,Torino,0,3,3
Inter,Bologna,3,1,4
Pisa,Como,0,3,3
Lecce,Roma,0,2,2
Sassuolo,Juventus,0,3,3
Bologna,Atalanta,0,2,2
Napoli,Hellas Verona,2,2,4
Lazio,Fiorentina,2,2,4
Parma,Inter,0,2,2
Torino,Udinese,1,2,3
Cremonese,Cagliari,2,2,4
Milan,Genoa,1,1,2
Cremonese,Sassuolo,3,2,5
Lecce,Milan,0,2,2
Bologna,Como,1,0,1
Parma,Atalanta,1,1,2
Napoli,Cagliari,1,0,1
Pisa,Roma,0,1,1
Genoa,Juventus,0,1,1
Torino,Fiorentina,0,0,0
Inter,Udinese,1,2,3
Lazio,Hellas Verona,4,0,4
Como,Bologna,1,1,2
Udinese,Pisa,2,2,4
Roma,Sassuolo,2,0,2
Atalanta,Torino,2,0,2
Lecce,Parma,1,2,3
Fiorentina,Milan,1,1,2
Hellas Verona,Lazio,0,1,1
Inter,Napoli,2,2,4
Genoa,Cagliari,3,0,3
Juventus,Cremonese,5,0,5
Inter,Pisa,6,2,8
Como,Torino,6,0,6
Fiorentina,Cagliari,1,2,3
Lecce,Lazio,0,0,0
Sassuolo,Cremonese,1,0,1
Atalanta,Parma,4,0,4
Genoa,Bologna,3,2,5
Juventus,Napoli,3,0,3
Roma,Milan,1,1,2
Hellas Verona,Udinese,1,3,4
Lazio,Genoa,3,2,5
Pisa,Sassuolo,1,3,4
Napoli,Fiorentina,2,1,3
Cagliari,Hellas Verona,4,0,4
Torino,Lecce,1,0,1
Como,Atalanta,0,0,0
Cremonese,Inter,0,2,2
Parma,Juventus,1,4,5
Udinese,Roma,1,0,1
Bologna,Milan,0,3,3
Cagliari,Parma,2,0,2
Juventus,Inter,4,3,7
Fiorentina,Napoli,1,3,4
Roma,Torino,0,1,1
Atalanta,Lecce,4,1,5
Pisa,Udinese,0,1,1
Sassuolo,Lazio,1,0,1
Milan,Bologna,1,0,1
Hellas Verona,Cremonese,0,0,0
Como,Genoa,1,1,2
Lecce,Cagliari,1,2,3
Bologna,Genoa,2,1,3
Hellas Verona,Juventus,1,1,2
Udinese,Milan,0,3,3
Lazio,Roma,0,1,1
Cremonese,Parma,0,0,0
Torino,Atalanta,0,3,3
Fiorentina,Como,1,2,3
Inter,Sassuolo,2,1,3
Napoli,Pisa,3,2,5
Como,Cremonese,1,1,2
Juventus,Atalanta,1,1,2
Cagliari,Inter,0,2,2
Sassuolo,Udinese,3,1,4
Pisa,Fiorentina,0,0,0
Roma,Hellas Verona,2,0,2
Lecce,Bologna,2,2,4
Milan,Napoli,2,1,3
Parma,Torino,2,1,3
Genoa,Lazio,0,3,3
Hellas Verona,Sassuolo,0,1,1
Lazio,Torino,3,3,6
Parma,Lecce,0,1,1
Inter,Cremonese,4,1,5
Atalanta,Como,1,1,2
Udinese,Cagliari,1,1,2
Bologna,Pisa,4,0,4
Fiorentina,Roma,1,2,3
Napoli,Genoa,2,1,3
Juventus,Milan,0,0,0
Lecce,Sassuolo,0,0,0
Pisa,Hellas Verona,0,0,0
Torino,Napoli,1,0,1
Roma,Inter,0,1,1
Como,Juventus,2,0,2
Cagliari,Bologna,0,2,2
Genoa,Parma,0,0,0
Atalanta,Lazio,0,0,0
Milan,Fiorentina,2,1,3
Cremonese,Udinese,1,1,2
Milan,Pisa,2,2,4
Parma,Como,0,0,0
Udinese,Lecce,3,2,5
Napoli,Inter,3,1,4
Cremonese,Atalanta,1,1,2
Torino,Genoa,2,1,3
Hellas Verona,Cagliari,2,2,4
Sassuolo,Roma,0,1,1
Fiorentina,Bologna,2,2,4
Lazio,Juventus,1,0,1
Lecce,Napoli,0,1,1
Atalanta,Milan,1,1,2
Como,Hellas Verona,3,1,4
Juventus,Udinese,3,1,4
Roma,Parma,2,1,3
Bologna,Torino,0,0,0
Genoa,Cremonese,0,2,2
Inter,Fiorentina,3,0,3
Cagliari,Sassuolo,1,2,3
Pisa,Lazio,0,0,0
