Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Somma Gol
Fortuna Sittard,Go Ahead Eagles,2,2,4
NEC Nijmegen,Excelsior,5,0,5
Feyenoord,NAC Breda,2,0,2
SC Heerenveen,FC Volendam,1,1,2
PSV Eindhoven,Sparta Rotterdam,6,1,7
PEC Zwolle,FC Twente,1,0,1
AFC Ajax,SC Telstar,2,0,2
AZ Alkmaar,FC Groningen,4,1,5
FC Utrecht,Heracles Almelo,4,0,4
SC Heerenveen,NAC Breda,3,3,6
Fortuna Sittard,FC Groningen,1,2,3
Sparta Rotterdam,SC Telstar,1,0,1
FC Volendam,Heracles Almelo,3,0,3
PEC Zwolle,NEC Nijmegen,2,2,4
FC Twente,AFC Ajax,2,3,5
Feyenoord,PSV Eindhoven,2,3,5
AZ Alkmaar,FC Utrecht,4,1,5
Go Ahead Eagles,Excelsior,2,0,2
PSV Eindhoven,Fortuna Sittard,5,2,7
AFC Ajax,SC Heerenveen,1,1,2
NAC Breda,Go Ahead Eagles,1,0,1
Feyenoord,FC Volendam,3,1,4
SC Telstar,Excelsior,2,2,4
Heracles Almelo,PEC Zwolle,8,2,10
FC Groningen,FC Twente,1,1,2
Sparta Rotterdam,AZ Alkmaar,0,1,1
FC Utrecht,NEC Nijmegen,1,0,1
FC Twente,SC Telstar,0,0,0
Excelsior,Heracles Almelo,1,2,3
FC Volendam,NAC Breda,2,1,3
Fortuna Sittard,SC Heerenveen,2,0,2
PEC Zwolle,Sparta Rotterdam,1,0,1
FC Utrecht,AFC Ajax,2,1,3
NEC Nijmegen,FC Groningen,2,0,2
AZ Alkmaar,PSV Eindhoven,1,5,6
Go Ahead Eagles,Feyenoord,2,1,3
NAC Breda,PSV Eindhoven,0,1,1
AFC Ajax,Excelsior,1,2,3
FC Volendam,FC Twente,1,1,2
Heracles Almelo,Go Ahead Eagles,4,2,6
Sparta Rotterdam,Fortuna Sittard,1,1,2
SC Heerenveen,AZ Alkmaar,3,1,4
Feyenoord,NEC Nijmegen,2,4,6
SC Telstar,FC Utrecht,1,1,2
FC Groningen,PEC Zwolle,2,2,4
PEC Zwolle,SC Heerenveen,2,1,3
Excelsior,NAC Breda,1,0,1
Fortuna Sittard,Heracles Almelo,1,1,2
NEC Nijmegen,Sparta Rotterdam,3,1,4
PSV Eindhoven,FC Volendam,3,0,3
Go Ahead Eagles,FC Utrecht,2,2,4
SC Telstar,Feyenoord,1,2,3
FC Twente,AZ Alkmaar,1,0,1
AFC Ajax,FC Groningen,2,0,2
Excelsior,FC Groningen,0,2,2
SC Heerenveen,PSV Eindhoven,0,2,2
Fortuna Sittard,AFC Ajax,1,3,4
Heracles Almelo,SC Telstar,1,1,2
Feyenoord,PEC Zwolle,6,1,7
FC Utrecht,FC Twente,1,1,2
AZ Alkmaar,Go Ahead Eagles,2,2,4
FC Volendam,NEC Nijmegen,2,3,5
Sparta Rotterdam,NAC Breda,1,0,1
SC Telstar,NEC Nijmegen,2,2,22
FC Groningen,FC Volendam,3,0,30
PSV Eindhoven,Heracles Almelo,4,3,43
PEC Zwolle,Fortuna Sittard,1,0,10
Sparta Rotterdam,SC Heerenveen,0,3,03
AFC Ajax,Feyenoord,2,0,20
FC Twente,Go Ahead Eagles,2,0,20
AZ Alkmaar,Excelsior,-,-,--
NAC Breda,FC Utrecht,1,1,11
AZ Alkmaar,Excelsior,-,-,--
Heracles Almelo,SC Heerenveen,0,3,3
Excelsior,PEC Zwolle,2,1,3
