Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
13/12/2025,16:30,SC Telstar,NEC Nijmegen,2,2,Ended
13/12/2025,18:45,FC Groningen,FC Volendam,3,0,Ended
13/12/2025,20:00,PSV Eindhoven,Heracles Almelo,4,3,Ended
13/12/2025,21:00,PEC Zwolle,Fortuna Sittard,1,0,Ended
14/12/2025,12:15,Sparta Rotterdam,SC Heerenveen,0,3,Ended
14/12/2025,14:30,AFC Ajax,Feyenoord,2,0,Ended
14/12/2025,14:30,FC Twente,Go Ahead Eagles,2,0,Ended
14/12/2025,16:45,AZ Alkmaar,Excelsior,-,-,Postponed
14/12/2025,16:45,NAC Breda,FC Utrecht,1,1,Ended
21/01/2026,18:45,AZ Alkmaar,Excelsior,-,-,Not started
